1;95041606977;14,00;3;26269500070000000000000001;2001-01-12 09:26:50.000
2;75020606596;1,00;2;26296600070000000000000002;2001-06-30 11:23:50.000
3;98072006732;0,00;1;26269200070000000000000003;1999-05-14 17:45:50.000
4;90030408956;0,00;2;26239000070000000000000004;2003-10-17 10:36:50.000
5;75080415385;0,00;3;26269000050000000000000005;2003-11-26 16:28:50.000
6;96101507724;0,00;0;26269000020000000000000006;2004-08-22 15:50:50.000
7;93052511523;5,50;1;26369000070000000000000007;2006-05-10 13:10:50.000
8;98051109175;0,00;2;26369000070000000000000008;2002-11-07 14:11:50.000
9;29041716804;13,20;1;26569000030000000000000009;2005-03-02 12:18:50.000
10;75030914544;14,00;0;26269000020000000000000010;2007-01-01 09:26:50.000
11;75111810888;0,00;1;26259000010000000000000011;2000-07-11 10:13:50.000
12;95120304662;0,00;1;26239050070000000000000012;2006-04-19 08:14:50.000
13;92022610475;0,00;1;26269030070000000000000013;2005-04-29 16:13:50.000
14;96041508849;24,00;1;26269000030000000000000014;2004-02-20 15:10:50.000
15;95062008572;0,00;1;26269000120000000000000015;2009-09-23 14:05:50.000
16;85032619873;0,00;0;26269000560000000000000016;2010-11-13 10:04:50.000
17;75031407326;1,00;1;26230000560000000000000017;2012-07-17 12:01:50.000
18;75081503522;20,00;0;26269000560000000000000018;2011-05-10 15:19:50.000
19;95091708384;0,00;0;15852369410000000000000019;2017-01-24 01:10:31.811
20;92122002413;0.00;0;17852369410000000000000020;2017-01-24 01:27:39.657
